trade_number,entry_time_et,dataset_split,source_status,route,quantity,rule,family,extra_slippage_ticks,control_pair_net,control_buy_net,control_sell_net,survivor,loser,usable_survivor_session,candidate_pair_net,candidate_buy_net,candidate_sell_net,delta_vs_control,floor_fired,exit_reason,candidate_exit_time_utc,candidate_exit_price,pair_peak_before_exit,protected_floor_at_exit,activation_r,lock_pct_at_exit
2175,2025-08-03 18:00,DISCOVERY_AUGUST,VALIDATED_SOURCE,WEEKLY,2,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2175,2025-08-03 18:00,DISCOVERY_AUGUST,VALIDATED_SOURCE,WEEKLY,2,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2175,2025-08-03 18:00,DISCOVERY_AUGUST,VALIDATED_SOURCE,WEEKLY,2,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,CONTROL_NO_PAIR_FLOOR,CONTROL,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,999.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,CONTROL_NO_PAIR_FLOOR,CONTROL,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,999.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,CONTROL_NO_PAIR_FLOOR,CONTROL,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,999.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,CONTROL_NO_PAIR_FLOOR,CONTROL,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,999.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_2R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_2R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_2R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_2R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_2R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_2R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_2R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_2R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_2R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_2R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_2R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_2R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_2R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_2R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_2R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_2R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_3R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_3R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_3R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_3R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_3R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_3R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_3R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_3R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_3R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_3R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_3R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_3R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_3R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_3R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_3R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_3R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_4R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_4R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_4R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_4R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_4R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_4R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_4R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_4R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_4R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_4R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_4R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_4R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_4R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_4R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_4R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_4R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_5R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_5R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_5R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_50_ARM_5R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_5R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_5R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_5R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_65_ARM_5R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_5R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_5R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_5R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_75_ARM_5R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_5R,FIXED,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_5R,FIXED,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_5R,FIXED,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,FIXED_85_ARM_5R,FIXED,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,5.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_FAST_2R_4R_6R_8R,DYNAMIC,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_FAST_2R_4R_6R_8R,DYNAMIC,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_FAST_2R_4R_6R_8R,DYNAMIC,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_FAST_2R_4R_6R_8R,DYNAMIC,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,2.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_BALANCED_3R_5R_8R_12R,DYNAMIC,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_BALANCED_3R_5R_8R_12R,DYNAMIC,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_BALANCED_3R_5R_8R_12R,DYNAMIC,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_BALANCED_3R_5R_8R_12R,DYNAMIC,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_LOOSE_4R_7R_11R_16R,DYNAMIC,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_LOOSE_4R_7R_11R_16R,DYNAMIC,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_LOOSE_4R_7R_11R_16R,DYNAMIC,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,DYNAMIC_LOOSE_4R_7R_11R_16R,DYNAMIC,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,ADAPTIVE_VOL_ARM_3R,ADAPTIVE,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,ADAPTIVE_VOL_ARM_3R,ADAPTIVE,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,ADAPTIVE_VOL_ARM_3R,ADAPTIVE,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,ADAPTIVE_VOL_ARM_3R,ADAPTIVE,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,3.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,0,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,1,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,2,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,VALIDATED_SOURCE,NY,2,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,4,-118.0,-59.0,-59.0,SELL,BUY,False,-118.0,-59.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,4.0,
